sequential,5,Radix Sort,-1,-1,0
sequential,10,Radix Sort,-1,-1,0
sequential,15,Radix Sort,-1,-1,1
sequential,20,Radix Sort,-1,-1,2
sequential,25,Radix Sort,-1,-1,2
sequential,30,Radix Sort,-1,-1,2
sequential,35,Radix Sort,-1,-1,2
sequential,40,Radix Sort,-1,-1,2
sequential,45,Radix Sort,-1,-1,3
sequential,50,Radix Sort,-1,-1,3
sequential,55,Radix Sort,-1,-1,4
sequential,60,Radix Sort,-1,-1,3
sequential,65,Radix Sort,-1,-1,4
sequential,70,Radix Sort,-1,-1,4
sequential,75,Radix Sort,-1,-1,4
sequential,80,Radix Sort,-1,-1,5
sequential,85,Radix Sort,-1,-1,5
sequential,90,Radix Sort,-1,-1,5
sequential,95,Radix Sort,-1,-1,7
sequential,100,Radix Sort,-1,-1,6
sequential,1000,Radix Sort,-1,-1,83
sequential,2000,Radix Sort,-1,-1,226
sequential,3000,Radix Sort,-1,-1,345
sequential,4000,Radix Sort,-1,-1,471
sequential,5000,Radix Sort,-1,-1,572
sequential,6000,Radix Sort,-1,-1,650
sequential,7000,Radix Sort,-1,-1,759
sequential,8000,Radix Sort,-1,-1,1008
sequential,9000,Radix Sort,-1,-1,993
sequential,10000,Radix Sort,-1,-1,1149
