sequential,5,Counting Sort (Stable),-1,-1,0
sequential,10,Counting Sort (Stable),-1,-1,0
sequential,15,Counting Sort (Stable),-1,-1,0
sequential,20,Counting Sort (Stable),-1,-1,0
sequential,25,Counting Sort (Stable),-1,-1,0
sequential,30,Counting Sort (Stable),-1,-1,0
sequential,35,Counting Sort (Stable),-1,-1,1
sequential,40,Counting Sort (Stable),-1,-1,1
sequential,45,Counting Sort (Stable),-1,-1,1
sequential,50,Counting Sort (Stable),-1,-1,1
sequential,55,Counting Sort (Stable),-1,-1,1
sequential,60,Counting Sort (Stable),-1,-1,1
sequential,65,Counting Sort (Stable),-1,-1,1
sequential,70,Counting Sort (Stable),-1,-1,1
sequential,75,Counting Sort (Stable),-1,-1,1
sequential,80,Counting Sort (Stable),-1,-1,1
sequential,85,Counting Sort (Stable),-1,-1,1
sequential,90,Counting Sort (Stable),-1,-1,2
sequential,95,Counting Sort (Stable),-1,-1,3
sequential,100,Counting Sort (Stable),-1,-1,2
sequential,1000,Counting Sort (Stable),-1,-1,21
sequential,2000,Counting Sort (Stable),-1,-1,41
sequential,3000,Counting Sort (Stable),-1,-1,62
sequential,4000,Counting Sort (Stable),-1,-1,101
sequential,5000,Counting Sort (Stable),-1,-1,95
sequential,6000,Counting Sort (Stable),-1,-1,114
sequential,7000,Counting Sort (Stable),-1,-1,128
sequential,8000,Counting Sort (Stable),-1,-1,192
sequential,9000,Counting Sort (Stable),-1,-1,173
sequential,10000,Counting Sort (Stable),-1,-1,194
